datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170114|00105149027|2346923|0||1
6050|20170114|00105151642|2616014|0|1|20
6050|20170114|00105151642|2616014|0||1
6050|20170114|00105149029|2346923|0|1|20
6050|20170114|00105149029|2346923|0||1
6050|20170114|00105148958|2346923|0|1|20
6050|20170114|00105148958|2346923|0||1
6050|20170114|00105149537|2346923|0|1|20
6050|20170114|00105149537|2346923|0||1
6050|20170114|00105100560|2346923|0|1|20
6050|20170114|00105100560|2346923|0||1
6050|20170114|00105149099|2346923|0|1|20
6050|20170114|00105149099|2346923|0||1
6050|20170114|00105149025|2346923|0|1|20
6050|20170114|00105149025|2346923|0||1
6050|20170114|00105149024|2346923|0|1|20
6050|20170114|00105149024|2346923|0||1
6050|20170114|00105151637|2456892|0|1|20
6050|20170114|00105151637|2456892|0||1
6050|20170114|00105139788|2594189|0|1|20
6050|20170114|00105139788|2594189|0||1
6050|20170114|00105151082|2346923|0|1|20
6050|20170114|00105151082|2346923|0||1
6050|20170114|00105151186|2661667|0|1|20
6050|20170114|00105151186|2661667|0||1
6050|20170114|00105150662|2346923|0|1|20
6050|20170114|00105150662|2346923|0||1
6050|20170114|00105147522|2346923|0|1|20
6050|20170114|00105147522|2346923|0||1
6050|20170114|00105150053|2346923|0|1|20
6050|20170114|00105150053|2346923|0||1
6050|20170114|00105150861|2346923|0|1|20
6050|20170114|00105150861|2346923|0||1
6050|20170114|00105151058|2346923|0|1|20
6050|20170114|00105151058|2346923|0||1
6050|20170114|00105151074|2416993|0|1|20
6050|20170114|00105151074|2416993|0||1
6050|20170114|00105145513|2319617|0|1|20
6050|20170114|00105145513|2319617|0||1
6050|20170114|00105144651|2346923|0||1
6050|20170114|00105144651|2346923|0|1|20
6050|20170114|00105151532|2607040|0|1|20
6050|20170114|00105151532|2607040|0||1
6050|20170114|00105151545|2607040|0|1|20
6050|20170114|00105151545|2607040|0||1
6050|20170114|00105151541|2607040|0|1|20
6050|20170114|00105151541|2607040|0||1
6050|20170114|00105147173|2346923|0|1|20
6050|20170114|00105147173|2346923|0||1
6050|20170114|00105148297|2661278|0|1|20
6050|20170114|00105148297|2661278|0||1
6050|20170114|00105133677|2568681|0|1|20
6050|20170114|00105133677|2568681|0||1
6050|20170114|00105148320|2661278|0|1|20
6050|20170114|00105148320|2661278|0||1
6050|20170114|00105128961|2346923|0|1|20
6050|20170114|00105128961|2346923|0||1
6050|20170114|00105142175|2314987|0|1|20
6050|20170114|00105142175|2314987|0||1
6050|20170114|00105125833|2346923|0|1|20
6050|20170114|00105125833|2346923|0||1
6050|20170114|00105150864|2423192|0|1|20
6050|20170114|00105150864|2423192|0||1
6050|20170114|00105144594|2344060|0|1|20
6050|20170114|00105144594|2344060|0||1
6050|20170114|00105142993|2655526|0|1|20
6050|20170114|00105142993|2655526|0||1
6050|20170114|00105146720|2346923|0|1|20
6050|20170114|00105146720|2346923|0||1
6050|20170114|00105098935|2594189|0|1|20
6050|20170114|00105098935|2594189|0||1
6050|20170114|00105131338|2520096|0|1|20
6050|20170114|00105131338|2520096|0||1
6050|20170114|00105149143|2602697|0|1|20
6050|20170114|00105149143|2602697|0||1
6050|20170114|00105124077|2611713|0|1|20
6050|20170114|00105124077|2611713|0||1
6050|20170114|00105151012|2602697|0|1|20
6050|20170114|00105151012|2602697|0||1
6050|20170114|00105150069|2369064|0|1|20
6050|20170114|00105150069|2573149|0||1
6050|20170114|00105151037|2303772|0|1|20
6050|20170114|00105151037|2303772|0||1
6050|20170114|00105113406|2346923|0||1
6050|20170114|00105113406|2346923|0|1|20
6050|20170114|00105138330|2607743|0||1
6050|20170114|00105138330|2607743|0|1|20
6050|20170114|00105149207|2576899|0||1
6050|20170114|00105149207|2369064|0|1|20
6050|20170114|00105150113|2544884|0|1|20
6050|20170114|00105150113|2544884|0||1
6050|20170114|00105131492|2346923|0|1|20
6050|20170114|00105131492|2346923|0||1
6050|20170114|00105149897|2669457|0|1|20
6050|20170114|00105149897|2669457|0||1
6050|20170114|00105151060|2245729|0|1|20
6050|20170114|00105151060|2245729|0||1
6050|20170114|00105151059|2245729|0|1|20
6050|20170114|00105151059|2245729|0||1
6050|20170114|00105137430|2296150|0|1|20
6050|20170114|00105137430|2296150|0||1
6050|20170114|00105144305|2602697|0|1|20
6050|20170114|00105144305|2602697|0||1
6050|20170114|00105151913|2320263|0|1|20
6050|20170114|00105151913|2320263|0||1
6050|20170114|00105150371|2602697|0|1|20
6050|20170114|00105150371|2602697|0||1
6050|20170114|00105151986|2346923|0|1|20
6050|20170114|00105151986|2346923|0||1
6050|20170114|00105148850|2602697|0|1|20
6050|20170114|00105148850|2602697|0||1
6050|20170114|00105149756|2602697|0|1|20
6050|20170114|00105149756|2602697|0||1
6050|20170114|00105150809|2568681|0||1
6050|20170114|00105150809|2568681|0|1|20
6050|20170114|00105148237|2293600|0|1|20
6050|20170114|00105148237|2293600|0||1
6050|20170114|00105151442|2592672|0|.5|20
6050|20170114|00105151442|2592672|0||1
6050|20170114|00105151442|2578498|0|.5|21
6050|20170114|00105150616|2663402|0|1|20
6050|20170114|00105150616|2663402|0||1
6050|20170114|00105151927|2240362|0|1|20
6050|20170114|00105151927|2240362|0||1
6050|20170114|00105150758|2568681|0|1|20
6050|20170114|00105150758|2568681|0||1
6050|20170114|00105149220|2581953|0||1
6050|20170114|00105149220|2581953|0|1|20
6050|20170114|00105150842|753674|0|1|20
6050|20170114|00105150842|753674|0||1
6050|20170114|00105149754|2581953|0|1|20
6050|20170114|00105149754|2581953|0||1
6050|20170114|00105151305|2170064|0|1|20
6050|20170114|00105151305|2170064|0||1
6050|20170114|00105150027|2654340|0|1|20
6050|20170114|00105150027|2654340|0||1
6050|20170114|00105148897|2581953|0|1|20
6050|20170114|00105148897|2581953|0||1
6050|20170114|00105145662|1080030|0|.5|20
6050|20170114|00105145662|1080030|0||1
6050|20170114|00105145662|2550104|0|.5|21
6050|20170114|00105150136|2659762|0|1|20
6050|20170114|00105150136|2659762|0||1
6050|20170114|00105143969|2588408|0|1|20
6050|20170114|00105143969|2588408|0||1
6050|20170114|00105146308|2653200|0|1|20
6050|20170114|00105146308|2653200|0||1
6050|20170114|00105149668|2567681|0|1|20
6050|20170114|00105149668|2567681|0||1
6050|20170114|00105150707|2563150|0|1|20
6050|20170114|00105150707|2563150|0||1
6050|20170114|00105099592|2593396|0|1|20
6050|20170114|00105099592|2593396|0||1
6050|20170114|00105146383|2392133|0|1|20
6050|20170114|00105146383|2392133|0||1
6050|20170114|00105096788|2346923|0|1|20
6050|20170114|00105096788|2346923|0||1
6050|20170114|00105135081|2279139|0|1|20
6050|20170114|00105135081|2279139|0||1
6050|20170114|00105132535|2657971|0|1|20
6050|20170114|00105132535|2657971|0||1
6050|20170114|00105117579|2346923|0|1|20
6050|20170114|00105117579|2346923|0||1
6050|20170114|00105145512|2369064|0|1|20
6050|20170114|00105145512|2653575|0||1
6050|20170114|00105151290|2259409|0|1|20
6050|20170114|00105151290|2259409|0||1
6050|20170114|00105151826|986585|0||1
6050|20170114|00105151826|986585|0|1|20
6050|20170114|00105151762|2605629|0|1|20
6050|20170114|00105151762|2605629|0||1
6050|20170114|00105149758|2567681|0|1|20
6050|20170114|00105149758|2567681|0||1
6050|20170114|00105119373|2602697|0|1|20
6050|20170114|00105119373|2602697|0||1
6050|20170114|00105127609|2346923|0|1|20
6050|20170114|00105127609|2346923|0||1
6050|20170114|00105118301|2346923|0|1|20
6050|20170114|00105118301|2346923|0||1
6050|20170114|00105099011|2589955|0|1|20
6050|20170114|00105099011|2589955|0||1
6050|20170114|00105124376|2346923|0|1|20
6050|20170114|00105124376|2346923|0||1
6050|20170114|00105151024|2081367|0|1|20
6050|20170114|00105151024|2081367|0||1
6050|20170114|00105146216|743919|0|1|20
6050|20170114|00105146216|743919|0||1
6050|20170114|00105146215|743919|0|1|20
6050|20170114|00105146215|743919|0||1
6050|20170114|00105144818|2580217|0|1|20
6050|20170114|00105144818|2580217|0||1
6050|20170114|00105151318|2649050|0|1|20
6050|20170114|00105151318|2649050|0||1
6050|20170114|00105149367|2654984|0|1|20
6050|20170114|00105149367|2654984|0||1
6050|20170114|00105089849|2346923|0|1|20
