datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170114|00105152198|0|1||20420201|0|1407.6|300|20420201|0|ATFP
6050|20170114|00105152742|4|1||20370520|500000|0|0|20170120|0|PKE
6050|20170114|00105152747|0|1||20550705|0|2253.6|461|20550705|0|XDP3
6050|20170114|00105152750|0|1|20290201||1000000|0|0|20170201|0|LR1SC
6050|20170114|00105134250|0|1||20600201|0|621.3|492|20580201|0|R1
6050|20170114|00105152751|0|1|20290201||500000|0|0|20170201|0|LR1SC
6050|20170114|00105152753|0|2||20270201|2500|0|0|20170201|0|4N
6050|20170114|00105153259|0|1||20510605|0|1831.2|412|20510605|0|XDP2
6050|20170114|00105153281|0|1||20461005|0|852|332|20441005|0|R1
6050|20170114|00105153357|0|1||20470205|0|4488|360|20470205|0|XDP3
6050|20170114|00105150889|267|1||20440520|300000|0|0|20170220|0|PKE
6050|20170114|00105150902|0|2||20551005|0|340.8|440|20531005|0|R1
6050|20170114|00105150942|124|1||20510520|240000|0|0|20170120|0|PKE
6050|20170114|00105150944|0|1||20390205|0|3000|264|20390205|0|XUP1
6050|20170114|00105150988|0|2||20320201|0|270.8|168|20310201|0|R1
6050|20170114|00105151008|0|1||20420201|0|664.4|240|20370201|0|00
6050|20170114|00105152211|0|2||20541105|0|3038.4|453|20541105|0|XDP1
6050|20170114|00105152214|0|1||20320205|0|6768|180|20320205|0|XDP3
6050|20170114|00105152245|0|2||20270201|27600|0|0|20170201|0|FGIE
6050|20170114|00105152252|0|1||20550205|0|3394.8|456|20550205|0|XDP3
6050|20170114|00105152255|0|1||20470705|0|3496.8|365|20470705|0|XDP3
6050|20170114|00105152795|0|3||20400201|0|642.1|252|20380201|0|R1
6050|20170114|00105152805|0|1||20530805|0|1694.4|438|20530805|0|XDP3
6050|20170114|00105152806|0|1||20340201|6461|0|0|20170201|0|4N
6050|20170114|00105152812|0|1||20340201|6461|0|0|20170201|0|4N
6050|20170114|00105152472|0|1||20320205|0|3947|180|20320205|0|XUP3
6050|20170114|00105153294|0|1||20490205|0|1692|384|20490205|0|XDP3
6050|20170114|00105153295|0|1||20290201|98537|0|0|20170201|0|4I
6050|20170114|00105153297|0|1||20510205|0|4516.8|408|20510205|0|XDP3
6050|20170114|00105153302|0|1||20370205|0|7327|240|20370205|0|XDP2
6050|20170114|00105153320|0|1||20571105|0|1693.2|489|20571105|0|XDP3
6050|20170114|00105151069|0|1||20360101|0|3378|226|20360101|0|FGVI
6050|20170114|00105151076|0|1||20350205|0|1762.8|216|20350205|0|XDP2
6050|20170114|00105151097|0|2||20430805|0|160.9|318|20430805|0|40Z
6050|20170114|00105151213|0|1||20370205|0|2754|240|20370205|0|XUP3
6050|20170114|00105151213|0|2||20370205|0|193.2|240|20370205|0|40Z
6050|20170114|00105151239|0|1||20521005|0|1707.6|428|20521005|0|XDP3
6050|20170114|00105152262|0|2||20560205|0|328.8|444|20540205|0|R2
6050|20170114|00105152265|0|1||20470205|0|3944.4|360|20470205|0|XDP1
6050|20170114|00105152273|0|2||20360201|44125|0|0|20170201|0|FGNE
6050|20170114|00105152281|0|1||20580205|0|1398|492|20580205|0|XDP2
6050|20170114|00105152825|0|1||20270201|0|1114.5|120|20270201|0|40
6050|20170114|00105152832|0|1||20530105|0|2254.8|431|20530105|0|XDP3
6050|20170114|00105152844|0|1||20511005|0|2253.6|416|20511005|0|XDP3
6050|20170114|00105152856|0|1||20570205|0|1754.4|480|20570205|0|XDP3
6050|20170114|00105152858|0|1||20530105|0|5628|431|20530105|0|XDP3
6050|20170114|00105153381|0|2||20320201|82931|0|0|20170201|0|FGNE
6050|20170114|00105153456|0|1||20520205|0|3326.4|420|20520205|0|XDP3
