datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170128|SENO|2513644|2296213|SENO|2513644|2296213|2017011|20170116|20170214|105.153.865|00105153865|0| | |20170205|20520205| |1|1.0000|0.00|3600.00|SLPDV3|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|POLSINM|1066016|2296213|POLSINM|1066016|2296213|2017011|20170116|20170214|105.153.866|00105153866|0| | |20170201|20270201| |0|1.0000|48780.00|0.00|SLFIE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.869|00105153869|0| | |20170116|20300116| |1|1.0000|0.00|1615.70|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SENO|2513644|2296213|SENO|2513644|2296213|2017011|20170116|20170214|105.153.870|00105153870|0| | |20170201|20520501| |12|1.0000|0.00|3600.00|SLFVD3|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.872|00105153872|0| | |20170116|20470116| |1|1.0000|0.00|4593.00|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|PAPL|2626772|2296213|PAPL|2626772|2296213|2017011|20170116|20170214|105.153.876|00105153876|0| | |20170205|20440205| |12|1.0000|0.00|2400.00|SLPDV3|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SENO|2513644|2296213|SENO|2513644|2296213|2017011|20170116|20170214|105.153.877|00105153877|0| | |20170201|20530201| |1|1.0000|0.00|1229.30|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.874|00105153874|0| | |20170116|20470116| |1|1.0000|0.00|3120.60|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.880|00105153880|0| | |20170116|20470116| |1|1.0000|0.00|2376.80|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|ARENAG|2061073|2296213|ARENAG|2061073|2296213|2017011|20170116|20170214|105.153.894|00105153894|0| | |20170116|20300116| |1|1.0000|0.00|4191.20|SLR40|1.0000|0.00|0| | | |Offerte Easy
